p1x	p1y	p1z	p2x	p2y	p2z	p3x	p3y	p3z	mu1	mu2	mu3	mu4
10.55447	-56.89043	-123.515	-3.673924	2.694674	52.63192	-6.880549	54.19576	70.88309	-0.5	0.5	0.5	-0.5
67.64579	-66.85695	-60.14468	-63.63246	65.182	83.86169	-4.013329	1.674953	-23.717	0.5	-0.5	0.5	-0.5
13.88101	-100.214	-21.33524	37.89371	67.78808	-12.91529	-51.77472	32.4259	34.25053	-0.5	0.5	-0.5	0.5
-93.81751	54.61995	59.79845	70.06139	9.067182	-21.76868	23.75611	-63.68713	-38.02977	-0.5	0.5	-0.5	0.5
-23.82773	79.94361	8.725876	51.45022	-101.2581	-13.64919	-27.62249	21.31451	4.923313	0.5	-0.5	-0.5	0.5
96.2512	-30.62151	11.52708	-44.04046	22.83169	-40.07659	-52.21074	7.789821	28.54951	0.5	-0.5	0.5	-0.5
52.93197	133.2341	57.56482	-15.64923	-93.16353	-28.19347	-37.28274	-40.07057	-29.37135	-0.5	0.5	0.5	-0.5
69.7151	-2.82445	-6.990086	-70.44636	-28.66405	9.618241	0.7312662	31.4885	-2.628155	0.5	-0.5	0.5	-0.5
-40.39365	89.31636	-30.95449	57.4085	-24.17137	33.5583	-17.01485	-65.14499	-2.60381	0.5	-0.5	0.5	-0.5
59.75253	-43.90191	136.0219	-53.43677	52.74538	-79.89017	-6.315757	-8.843472	-56.13177	0.5	-0.5	0.5	-0.5
11.41943	34.36698	137.2196	-10.6476	-30.35989	-78.02436	-0.7718222	-4.00709	-59.19523	0.5	-0.5	0.5	-0.5
11.02403	135.5716	-63.52125	20.12782	-74.06094	18.3983	-31.15185	-61.5107	45.12295	0.5	-0.5	0.5	-0.5
-80.15032	-7.733935	-23.18629	26.37243	80.18882	23.60025	53.77789	-72.45488	-0.4139628	-0.5	0.5	0.5	-0.5
-8.646865	5.416369	-31.65347	24.51469	-16.12886	24.33459	-15.86782	10.71249	7.318875	0.5	-0.5	0.5	-0.5
-97.55249	-48.2574	-63.88298	9.533184	30.3875	38.49137	88.01931	17.8699	25.39161	-0.5	0.5	-0.5	0.5
18.01325	25.82191	4.13978	9.588376	8.456477	32.59029	-27.60162	-34.27839	-36.73007	0.5	-0.5	-0.5	0.5
2.840153	-59.50754	55.29524	15.87976	47.41613	-41.74246	-18.71992	12.09141	-13.55278	0.5	-0.5	0.5	-0.5
-15.65934	-34.01391	-124.4369	-10.01744	-14.29879	108.3128	25.67678	48.3127	16.12415	-0.5	0.5	-0.5	0.5
70.45015	71.4795	-78.0462	-4.825862	-54.04816	63.40807	-65.62428	-17.43134	14.63813	0.5	-0.5	-0.5	0.5
-47.82022	-61.53176	52.80145	49.08282	-3.584821	-40.95075	-1.2626	65.11658	-11.85069	-0.5	0.5	0.5	-0.5
-56.1828	-31.05581	57.32981	45.70399	28.80736	-57.71501	10.4788	2.248457	0.3851936	0.5	-0.5	0.5	-0.5
-137.6604	52.10731	16.20141	63.4708	-3.589837	16.45039	74.18962	-48.51747	-32.6518	-0.5	0.5	-0.5	0.5
81.67179	10.69645	-99.53113	-3.68989	-13.25579	50.00194	-77.9819	2.559339	49.52919	-0.5	0.5	-0.5	0.5
-23.3164	51.20157	-106.0967	-29.08685	-21.10874	35.47124	52.40325	-30.09283	70.62545	0.5	-0.5	-0.5	0.5
68.14204	-80.7639	-56.0379	-71.85437	56.30033	-2.407042	3.712326	24.46357	58.44494	0.5	-0.5	0.5	-0.5
9.343013	35.33156	-110.08	-7.084951	21.1328	1.050303	-2.258062	-56.46436	109.0297	-0.5	0.5	0.5	-0.5
-11.29014	-33.9854	151.7434	13.47606	37.69135	-75.1265	-2.185914	-3.705955	-76.61689	0.5	-0.5	0.5	-0.5
64.50588	62.68488	55.86145	-7.118507	-52.28998	-11.73483	-57.38737	-10.3949	-44.12662	0.5	-0.5	0.5	-0.5
-144.6413	13.79275	5.620695	38.1919	-8.303806	-23.67081	106.4494	-5.488939	18.05012	0.5	-0.5	0.5	-0.5
16.76238	-49.87481	-143.3566	8.517494	51.4843	57.20398	-25.27987	-1.609489	86.15262	0.5	-0.5	0.5	-0.5
-7.835158	-40.77176	134.3489	48.52489	25.82291	-52.92766	-40.68973	14.94884	-81.42127	0.5	-0.5	0.5	-0.5
-62.19505	-34.95534	20.56487	54.00168	31.52364	-4.35846	8.193365	3.431696	-16.20641	-0.5	0.5	0.5	-0.5
51.21453	6.947996	-0.3970107	-28.72075	-1.80557	-35.26008	-22.49378	-5.142426	35.65709	0.5	-0.5	0.5	-0.5
63.03644	-85.32405	5.495551	-22.05544	25.94867	-28.56322	-40.981	59.37538	23.06766	-0.5	0.5	-0.5	0.5
-30.73389	-68.13575	-35.86298	50.07165	91.03804	-7.095909	-19.33776	-22.90229	42.95889	0.5	-0.5	-0.5	0.5
