   10000    8.00    1.00    1.00    0.0000   10.0000    0.1653    0.3100   90.0000  -45.0000    1.0000    0.8000    1.0000
 0.7206406E+01 -0.1754454E+02  0.5639178E+02 -0.1327796E+03  0.7652269E+00 -0.3139226E+02  0.7600432E+02  0.1677931E+02 -0.2499952E+02  0.5677531E+02  0.2169820E+00
 0.9067860E+01 -0.2866158E+02 -0.3239947E+02 -0.9974271E+02 -0.1909192E+02 -0.4091810E+01  0.1072426E+03  0.4775351E+02  0.3649128E+02 -0.7499936E+01  0.1777150E+00
 0.7098366E+01 -0.4391382E+02 -0.1458367E+02  0.1816315E+02  0.9634398E+02  0.1606081E+02 -0.2588241E+02 -0.5243016E+02 -0.1477139E+01  0.7719253E+01  0.2744438E+00
 0.2070314E+01  0.3535633E+02 -0.2789233E+02  0.6301305E-01 -0.5339189E+01  0.3505013E+01 -0.3241701E+02 -0.3001714E+02  0.2438732E+02  0.3235400E+02  0.2587465E+00
 0.3786832E+01 -0.3944169E+02  0.2345447E+02  0.4238445E+02  0.8857829E+01 -0.3627108E+02 -0.6138780E+02  0.3058386E+02  0.1281662E+02  0.1900335E+02  0.2565346E+00
 0.9508354E+01 -0.1010582E+02 -0.5695437E+01 -0.2559642E+01 -0.6574453E+02  0.6415122E+02  0.1191354E+02  0.7585035E+02 -0.5845578E+02 -0.9353899E+01  0.2991048E+00
 0.9271697E+01  0.9869824E+02 -0.4977014E+02 -0.5761360E+01 -0.1162696E+03  0.4042664E+02 -0.9643529E+01  0.1757134E+02  0.9343491E+01  0.1540489E+02  0.1795791E+00
 0.6024852E+01  0.4994045E+02 -0.7976003E+02 -0.1188934E+02  0.1282446E+01  0.8501007E+02  0.1686890E+02 -0.5122289E+02 -0.5250036E+01 -0.4979556E+01  0.1903969E+00
 0.8785236E+01 -0.9883189E+01  0.6885545E+01  0.2325155E+02 -0.8983707E+01  0.8118967E+00  0.7681809E+02  0.1886690E+02 -0.7697442E+01 -0.1000696E+03  0.2590385E+00
 0.3470077E+01 -0.2159165E+02 -0.5636447E+02 -0.3778740E+01 -0.2220633E+02  0.7237668E+01  0.2612480E+02  0.4379798E+02  0.4912680E+02 -0.2234606E+02  0.2324549E+00
