nosym
-28	28	29
-6	6	7
-150	100	126
-0.00106746	-0.0098753	-0.00137646	
-0.00109676	-0.0106252	-0.00130554	
-0.00113948	-0.0114972	-0.0011975	
-0.00114752	-0.0124032	-0.00106254	
-0.00117356	-0.0134048	-0.000945427	
-0.00120944	-0.0145045	-0.000765968	
-0.00121588	-0.0157287	-0.000532743	
-0.00125222	-0.0170735	-0.000284001	
-0.00126167	-0.0185677	8.9121e-06	
-0.00126351	-0.0201984	0.000371335	
-0.0012691	-0.0220458	0.000770366	
-0.00125618	-0.0240467	0.00123847	
-0.00123187	-0.0263128	0.00178694	
-0.00119672	-0.0288059	0.00242787	
-0.00114678	-0.0316351	0.0031833	
-0.00110113	-0.0347612	0.00404444	
-0.00104522	-0.0382763	0.00501758	
-0.000985217	-0.0422239	0.00612624	
-0.00085643	-0.0466423	0.0074038	
-0.000705108	-0.051594	0.0088562	
-0.000549923	-0.0572112	0.0104946	
-0.000320975	-0.0636163	0.0123156	
-9.90236e-05	-0.07071	0.0144673	
0.000119123	-0.0788781	0.0169562	
0.000508762	-0.0880898	0.0197642	
0.000806257	-0.0985528	0.0228586	
0.0012982	-0.110484	0.0264707	
0.00166492	-0.124097	0.0305775	
0.00237398	-0.139584	0.0352504	
0.00294448	-0.157596	0.0408238	
0.00355735	-0.177972	0.0470894	
0.0042788	-0.201757	0.0546714	
0.00503108	-0.229134	0.0634511	
0.00577744	-0.260866	0.0737897	
0.00645097	-0.298278	0.0863048	
0.00729006	-0.342046	0.101766	
0.00795582	-0.393545	0.120468	
0.00401999	-0.455936	0.14423	
-0.00548924	-0.529497	0.168864	
-0.0152494	-0.614193	0.189925	
-0.0219559	-0.712347	0.210369	
-0.0261011	-0.823786	0.228836	
-0.0269972	-0.949598	0.243123	
-0.0251098	-1.08766	0.237502	
-0.020768	-1.2192	0.20124	
-0.0138495	-1.3102	0.136942	
-0.0093044	-1.35508	0.0804289	
-0.00641197	-1.37362	0.0425589	
-0.00439963	-1.38104	0.0211436	
-0.00375896	-1.38365	0.0083524	
-0.00363888	-1.3843	-0.000473424	
-0.00376694	-1.38311	-0.00976814	
-0.00456961	-1.3802	-0.0229946	
-0.00648014	-1.37218	-0.046646	
-0.00918701	-1.35103	-0.086175	
-0.0138815	-1.30024	-0.144683	
-0.0181456	-1.20279	-0.205586	
-0.0220638	-1.07092	-0.235571	
-0.0248561	-0.938075	-0.234451	
-0.0252403	-0.818393	-0.218349	
-0.0257267	-0.712656	-0.197283	
-0.0243336	-0.620562	-0.176599	
-0.0198642	-0.541072	-0.159354	
-0.0126962	-0.469222	-0.14195	
-0.0062385	-0.407336	-0.125608	
0.000894027	-0.353628	-0.109656	
0.00564019	-0.307584	-0.0917516	
0.005698	-0.268281	-0.0770021	
0.00510083	-0.234978	-0.0658996	
0.0042886	-0.206441	-0.0564887	
0.00361479	-0.18206	-0.048882	
0.00299739	-0.160861	-0.0420801	
0.00224059	-0.142577	-0.0361861	
0.00174646	-0.12659	-0.0313495	
0.00123271	-0.112623	-0.0270018	
0.000876753	-0.100411	-0.0234103	
0.000532569	-0.0896572	-0.0201626	
0.000142154	-0.0801839	-0.0172809	
-4.0073e-05	-0.0718442	-0.0148579	
-0.000303117	-0.0645322	-0.0126806	
-0.000505434	-0.0580698	-0.0107573	
-0.000704424	-0.0523254	-0.00907967	
-0.000829586	-0.0472294	-0.00750611	
-0.000928948	-0.0427597	-0.00625933	
-0.00105255	-0.0386893	-0.00512999	
-0.00109318	-0.0351652	-0.00414084	
-0.00115704	-0.0319375	-0.00325798	
-0.00121444	-0.0290978	-0.00251062	
-0.00125162	-0.0265659	-0.00185249	
-0.00125286	-0.0242618	-0.00127287	
-0.00126716	-0.0221949	-0.000781779	
-0.00126862	-0.0203436	-0.000378291	
-0.00125488	-0.0186809	-1.88728e-05	
-0.00126487	-0.0171667	0.00029239	
-0.00123585	-0.0158108	0.000555929	
-0.00121476	-0.01456	0.000762409	
-0.00119436	-0.0134412	0.000949872	
-0.00116759	-0.0124265	0.00110441	
-0.00115646	-0.0114711	0.00121852	
-0.00111449	-0.010644	0.00130932	
