0.      0.0 
4.5	0.0634
4.6	0.05837
4.7	0.05384
4.8	0.04976
4.9	0.04606
5	0.04271
5.1	0.03964
5.2	0.03685
5.3	0.03429
5.4	0.03195
5.5	0.02978
5.6	0.02779
5.7	0.02596
5.8	0.02426
5.9	0.0227
6	0.02125
6.1	0.01991
6.2	0.01867
6.3	0.01752
6.4	0.01646
6.5	0.01547
6.6	0.01455
6.7	0.01369
6.8	0.0129
6.9	0.01216
7	0.01148
7.1	0.01084
7.2	0.01025
7.3	0.00969
7.4	0.00918
7.5	0.0087
7.6	0.00825
7.7	0.00783
7.8	0.00743
7.9	0.00706
8	0.00672
8.1	0.0064
8.2	0.00609
8.3	0.0058
8.4	0.00554
8.5	0.00528
8.6	0.00505
8.7	0.00482
8.8	0.00461
8.9	0.0044
9	0.00421
9.1	0.00403
9.2	0.00386
9.3	0.00369
9.4	0.00353
9.5	0.00338
9.6	0.00324
9.7	0.00311
9.8	0.00298
9.9	0.00285
10	0.00273
10.1	0.00262
10.2	0.00251
10.3	0.00241
10.4	0.0023
10.5	0.00221
10.6	0.00212
10.7	0.00203
10.8	0.00194
10.9	0.00186
11	0.00178
11.1	0.00171
11.2	0.00164
11.3	0.00157
11.4	0.0015
11.5	0.00144
11.6	0.00138
11.7	0.00132
11.8	0.00126
11.9	0.00121
12	0.00116
12.1	0.00111
12.2	0.00106
12.3	0.00102
12.4	9.72441E-4
12.5	9.31316E-4
12.6	8.9209E-4
12.7	8.54445E-4
12.8	8.18698E-4
12.9	7.84533E-4
13	7.51949E-4
13.1	7.20948E-4
13.2	6.91211E-4
13.3	6.63057E-4
13.4	6.36168E-4
13.5	6.10544E-4
13.6	5.86185E-4
13.7	5.62776E-4
13.8	5.40948E-4
13.9	5.19753E-4
14	4.99823E-4
14.1	4.80843E-4
14.2	4.62811E-4
14.3	4.45729E-4
14.4	4.29279E-4
14.5	4.13778E-4
14.6	3.9891E-4
14.7	3.84674E-4
14.8	3.71388E-4
14.9	3.58734E-4
15	3.46397E-4
15.1	3.34692E-4
15.2	3.23936E-4
15.3	3.13244E-4
15.4	3.03184E-4
15.5	2.93567E-4
15.6	2.84393E-4
15.7	2.7563E-4
15.8	2.67216E-4
15.9	2.59181E-4
16	2.51462E-4
16.1	2.44059E-4
16.2	2.36942E-4
16.3	2.30109E-4
16.4	2.23529E-4
16.5	2.1717E-4
16.6	2.11065E-4
16.7	2.05181E-4
16.8	1.99455E-4
16.9	1.9395E-4
17	1.88604E-4
17.1	1.83448E-4
17.2	1.78418E-4
17.3	1.73546E-4
17.4	1.68801E-4
17.5	1.64214E-4
17.6	1.59722E-4
17.7	1.55356E-4
17.8	1.51117E-4
17.9	1.46973E-4
18	1.42956E-4
18.1	1.39002E-4
18.2	1.35142E-4
18.3	1.31378E-4
18.4	1.27708E-4
18.5	1.24133E-4
18.6	1.20622E-4
18.7	1.17205E-4
18.8	1.13852E-4
18.9	1.10562E-4
19	1.07367E-4
19.1	1.04235E-4
19.2	1.01198E-4
19.3	9.82248E-5
19.4	9.52828E-5
19.5	9.24357E-5
19.6	8.96835E-5
19.7	8.69629E-5
19.8	8.43057E-5
19.9	8.17433E-5
20	7.92125E-5
20.1	7.67767E-5
20.2	7.43725E-5
20.3	7.20631E-5
20.4	6.97855E-5
20.5	6.76027E-5
20.6	6.54516E-5
20.7	6.33953E-5
20.8	6.13707E-5
20.9	5.9441E-5
21	5.7543E-5
21.1	5.57082E-5
21.2	5.39366E-5
21.3	5.21967E-5
21.4	5.05518E-5
21.5	4.89384E-5
21.6	4.73883E-5
21.7	4.58699E-5
21.8	4.44463E-5
21.9	4.30544E-5
22	4.16941E-5
22.1	4.03971E-5
22.2	3.91634E-5
22.3	3.79613E-5
22.4	3.68224E-5
22.5	3.57152E-5
22.6	3.46397E-5
22.7	3.36274E-5
22.8	3.26467E-5
22.9	3.17293E-5
23	3.08182E-5
23.1	2.99578E-5
23.2	2.91353E-5
23.3	2.83444E-5
23.4	2.75884E-5
23.5	2.68671E-5
23.6	2.61775E-5
23.7	2.55131E-5
23.8	2.48804E-5
23.9	2.42762E-5
24	2.36973E-5
24.1	2.31437E-5
24.2	2.26123E-5
24.3	2.21061E-5
24.4	2.16189E-5
24.5	2.11539E-5
24.6	2.07047E-5
24.7	2.02776E-5
24.8	1.98664E-5
24.9	1.9471E-5
25	1.90882E-5
25.1	1.87212E-5
25.2	1.83701E-5
25.3	1.80284E-5
25.4	1.76994E-5
25.5	1.73799E-5
25.6	1.70699E-5
25.7	1.67726E-5
25.8	1.64815E-5
25.9	1.61968E-5
26	1.59216E-5
26.1	1.56495E-5
26.2	1.5387E-5
26.3	1.51276E-5
26.4	1.48745E-5
26.5	1.46277E-5
26.6	1.4381E-5
26.7	1.41406E-5
26.8	1.39033E-5
26.9	1.36692E-5
27	1.34383E-5
27.1	1.32105E-5
27.2	1.29828E-5
27.3	1.27582E-5
27.4	1.25367E-5
27.5	1.23153E-5
27.6	1.20938E-5
27.7	1.18787E-5
27.8	1.16604E-5
27.9	1.14453E-5
28	1.12302E-5
28.1	1.10183E-5
28.2	1.08063E-5
28.3	1.05975E-5
28.4	1.03887E-5
28.5	1.01799E-5
28.6	9.97432E-6
28.7	9.7687E-6
28.8	9.56624E-6
28.9	9.36378E-6
29	9.16448E-6
29.1	8.96519E-6
29.2	8.76905E-6
29.3	8.57292E-6
29.4	8.37995E-6
29.5	8.18698E-6
29.6	7.99717E-6
29.7	7.81053E-6
29.8	7.62705E-6
29.9	7.44357E-6
30	7.26326E-6
